Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion
File,"IParameterValidator2.java",,,,1,0,1,,4,,,
File,"IParameterizedParser.java",,,,1,0,1,,5,,,
File,"ISO8601DateConverter.java",,,,2,0,2,,18,,,
File,"IStringConverter.java",,,,1,0,1,,4,,,
File,"IStringConverterFactory.java",,,,1,0,1,,4,,,
File,"IStringConverterInstanceFactory.java",,,,1,0,1,,4,,,
File,"IUsageFormatter.java",,,,6,0,6,,9,,,
File,"IValueValidator.java",,,,1,0,1,,4,,,
File,"IVariableArity.java",,,,1,0,1,,4,,,
File,"InetAddressConverter.java",,,,1,0,1,,14,,,
File,"InetAddressConverterTest.java",,,,6,0,6,,33,,,
File,"IntegerConverter.java",,,,2,0,2,,14,,,
File,"JCommander.java",,,,145,44,150,,1128,,,
File,"JCommanderTest.java",,,,146,61,148,,1206,,,
File,"JDK6Console.java",,,,4,2,4,,35,,,
File,"JsonAnnotationParameterizedParser.java",,,,7,3,7,,64,,,
File,"JsonCommandClassExample_01.java",,,,0,2,0,,17,,,
File,"JsonCommandClassExample_02.java",,,,0,2,0,,14,,,
File,"Lists.java",,,,0,0,6,,26,,,
File,"LongConverter.java",,,,2,0,2,,14,,,
File,"Maps.java",,,,0,0,3,,19,,,
File,"MethodSetterTest.java",,,,11,4,12,,81,,,
File,"MissingCommandException.java",,,,3,1,3,,15,,,
File,"MyClass.java",,,,1,1,2,,17,,,
File,"MyDelegate.java",,,,1,0,1,,10,,,
File,"NamedCommandAdd.java",,,,0,2,0,,11,,,
File,"NoConverter.java",,,,1,0,1,,7,,,
File,"NoValidator.java",,,,1,0,1,,8,,,
File,"NoValueValidator.java",,,,1,0,1,,8,,,
File,"Nullable.java",,,,0,0,0,,9,,,
File,"Parameter.java",,,,17,0,17,,32,,,
File,"ParameterDescription.java",,,,35,13,35,,324,,,
File,"ParameterException.java",,,,6,1,6,,25,,,
File,"ParameterOrderTest.java",,,,4,10,4,,61,,,
File,"Parameterized.java",,,,15,5,21,,250,,,
File,"ParameterizedParserTest.java",,,,4,0,4,,58,,,
File,"Parameters.java",,,,6,0,6,,16,,,
File,"ParametersDelegate.java",,,,0,0,0,,8,,,
File,"ParametersDelegateTest.java",,,,11,34,12,,212,,,
File,"ParametersNotEmptyTest.java",,,,1,2,1,,30,,,
File,"PasswordTest.java",,,,12,4,12,,91,,,
File,"PathConverter.java",,,,2,0,3,,29,,,
File,"PositiveInteger.java",,,,1,0,1,,13,,,
File,"PositiveIntegerTest.java",,,,5,5,5,,55,,,
File,"PropertyFileDefaultProvider.java",,,,4,1,4,,39,,,
File,"QuotedMainTest.java",,,,1,2,2,,22,,,
File,"ResourceBundle.java",,,,1,0,1,,9,,,
File,"SeparatorColon.java",,,,0,1,0,,8,,,
File,"SeparatorEqual.java",,,,0,2,0,,10,,,
File,"SeparatorMixed.java",,,,0,2,0,,10,,,
File,"SetConverter.java",,,,1,0,1,,13,,,
File,"Sets.java",,,,0,0,2,,12,,,
File,"SimpleExample.java",,,,4,3,5,,39,,,
File,"SlashSeparator.java",,,,0,2,0,,10,,,
File,"StandardCommandClassExample_01.java",,,,0,2,0,,14,,,
File,"StandardCommandClassExample_02.java",,,,0,2,0,,16,,,
File,"StringConverter.java",,,,1,0,1,,7,,,
File,"StringKey.java",,,,5,1,5,,39,,,
File,"Strings.java",,,,0,0,4,,32,,,
File,"StringsTest.java",,,,3,0,3,,25,,,
File,"SubParameter.java",,,,1,0,1,,10,,,
File,"TypeHierarchyTest.java",,,,16,5,16,,82,,,
File,"URIConverter.java",,,,2,0,2,,16,,,
File,"URLConverter.java",,,,2,0,2,,17,,,
File,"UnixStyleUsageFormatter.java",,,,2,0,2,,53,,,
File,"UnixStyleUsageFormatterTest.java",,,,22,25,22,,313,,,
File,"ValidatePropertiesWhenParsingTest.java",,,,2,2,3,,29,,,
File,"VariableArity.java",,,,2,3,2,,18,,,
File,"VariableArityTest.java",,,,2,5,3,,48,,,
File,"WrappedParameter.java",,,,21,2,21,,100,,,
Package,"com",,,,0,0,0,,0,,,
Package,"com.beust",,,,0,0,0,,0,,,
Package,"com.beust.jcommander",,,,607,272,639,,5495,,,
Public Class,"com.beust.jcommander.ArgMultiNameValidator",1,3,0,0,1,0,0,10,,1,0
Public Static Class,"com.beust.jcommander.ArgMultiNameValidator.MultiNameValidator",2,2,0,1,0,1,1,6,,1,0
Public Method,"com.beust.jcommander.ArgMultiNameValidator.MultiNameValidator.validate",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.ArgsRequiredWrongMain",1,1,0,0,1,0,0,3,,1,0
Public Class,"com.beust.jcommander.ArgsValidate2",1,5,0,0,1,0,0,14,,1,0
Public Static Class,"com.beust.jcommander.ArgsValidate2.FailingValidator",2,3,0,1,0,1,1,5,,1,0
Public Method,"com.beust.jcommander.ArgsValidate2.FailingValidator.validate",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.CmdTest",1,14,0,6,0,6,6,79,,1,0
Public Static Class,"com.beust.jcommander.CmdTest.CmdOne",1,0,0,0,0,0,0,2,,1,0
Class,"com.beust.jcommander.CmdTest.CmdTwo",1,3,0,0,1,0,0,4,,1,0
Public Method,"com.beust.jcommander.CmdTest.parseArgs",,,,,,,,17,3,,
Public Method,"com.beust.jcommander.CmdTest.testArgsWithDefaultCmd",,,,,,,,4,1,,
Public Method,"com.beust.jcommander.CmdTest.testArgsWithoutDefaultCmd",,,,,,,,6,2,,
Public Method,"com.beust.jcommander.CmdTest.testArgsWithoutDefaultCmdFail",,,,,,,,13,3,,
Public Method,"com.beust.jcommander.CmdTest.testData",,,,,,,,9,1,,
Public Method,"com.beust.jcommander.CmdTest.testIssue244",,,,,,,,15,1,,
Class,"com.beust.jcommander.CmdTest.testIssue244.P1",1,0,0,0,0,0,0,1,,1,0
Class,"com.beust.jcommander.CmdTest.testIssue244.P2",1,1,0,0,1,0,0,4,,1,0
Public Class,"com.beust.jcommander.ConverterFactoryTest",1,13,0,7,0,7,7,71,,1,0
Anonymous Class,"com.beust.jcommander.ConverterFactoryTest.(Anon_1)",1,2,0,0,0,0,0,2,,2,0
Anonymous Class,"com.beust.jcommander.ConverterFactoryTest.(Anon_2)",2,2,0,1,0,1,1,4,,1,0
Public Method,"com.beust.jcommander.ConverterFactoryTest.(Anon_2).getConverter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ConverterFactoryTest.mainWithFactory",,,,,,,,3,1,,
Private Method,"com.beust.jcommander.ConverterFactoryTest.mainWithHostPortParameters",,,,,,,,10,3,,
Public Method,"com.beust.jcommander.ConverterFactoryTest.mainWithInstanceFactory",,,,,,,,8,1,,
Anonymous Class,"com.beust.jcommander.ConverterFactoryTest.mainWithInstanceFactory.(Anon_3)",2,7,0,1,0,1,1,5,,1,0
Public Method,"com.beust.jcommander.ConverterFactoryTest.mainWithInstanceFactory.(Anon_3).getConverterInstance",,,,,,,,3,2,,
Public Method,"com.beust.jcommander.ConverterFactoryTest.mainWithSubcommand",,,,,,,,20,1,,
Anonymous Class,"com.beust.jcommander.ConverterFactoryTest.mainWithSubcommand.(Anon_4)",2,6,0,1,0,1,1,12,,1,0
Public Method,"com.beust.jcommander.ConverterFactoryTest.mainWithSubcommand.(Anon_4).getConverterInstance",,,,,,,,10,2,,
Anonymous Class,"com.beust.jcommander.ConverterFactoryTest.mainWithSubcommand.(Anon_4).getConverterInstance.(Anon_5)",2,3,0,1,0,1,1,6,,1,0
Public Method,"com.beust.jcommander.ConverterFactoryTest.mainWithSubcommand.(Anon_4).getConverterInstance.(Anon_5).convert",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ConverterFactoryTest.mainWithoutConverterWithoutFactory",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ConverterFactoryTest.mainWithoutFactory",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.ConverterFactoryTest.parameterWithHostPortParameters",,,,,,,,8,1,,
Public Class,"com.beust.jcommander.DefaultProviderTest",1,8,0,10,0,10,10,90,,1,0
Anonymous Class,"com.beust.jcommander.DefaultProviderTest.(Anon_1)",2,1,0,1,0,1,1,4,,1,0
Public Method,"com.beust.jcommander.DefaultProviderTest.(Anon_1).getDefaultValueFor",,,,,,,,3,2,,
Private Method,"com.beust.jcommander.DefaultProviderTest.defaultProvider",,,,,,,,7,1,,
Public Method,"com.beust.jcommander.DefaultProviderTest.defaultProvider1",,,,,,,,6,1,,
Public Method,"com.beust.jcommander.DefaultProviderTest.defaultProvider2",,,,,,,,6,1,,
Public Method,"com.beust.jcommander.DefaultProviderTest.defaultProvider3",,,,,,,,6,1,,
Public Method,"com.beust.jcommander.DefaultProviderTest.defaultProvider4",,,,,,,,7,1,,
Public Method,"com.beust.jcommander.DefaultProviderTest.missingRequiredParameterWithDefaultValueProviderShouldNotRaiseParameterException",,,,,,,,16,1,,
Anonymous Class,"com.beust.jcommander.DefaultProviderTest.missingRequiredParameterWithDefaultValueProviderShouldNotRaiseParameterException.(Anon_2)",2,1,0,1,0,1,1,4,,1,0
Public Method,"com.beust.jcommander.DefaultProviderTest.missingRequiredParameterWithDefaultValueProviderShouldNotRaiseParameterException.(Anon_2).getDefaultValueFor",,,,,,,,3,2,,
Class,"com.beust.jcommander.DefaultProviderTest.missingRequiredParameterWithDefaultValueProviderShouldNotRaiseParameterException.ArgsRequired",1,2,0,0,1,0,0,4,,1,0
Public Method,"com.beust.jcommander.DefaultProviderTest.propertyFileDefaultProvider1",,,,,,,,6,1,,
Public Method,"com.beust.jcommander.DefaultProviderTest.propertyFileDefaultProvider2",,,,,,,,6,1,,
Public Method,"com.beust.jcommander.DefaultProviderTest.propertyFileDefaultProvider3",,,,,,,,7,1,,
Public Method,"com.beust.jcommander.DefaultProviderTest.propertyFileDefaultProvider4",,,,,,,,7,1,,
Public Class,"com.beust.jcommander.DefaultUsageFormatter",2,18,1,12,1,15,15,211,,1,46
Public Constructor,"com.beust.jcommander.DefaultUsageFormatter.DefaultUsageFormatter",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.appendAllParametersDetails",,,,,,,,53,14,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.appendCommands",,,,,,,,26,6,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.appendMainLine",,,,,,,,18,5,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.getCommandDescription",,,,,,,,26,6,,
Public Static Method,"com.beust.jcommander.DefaultUsageFormatter.getI18nString",,,,,,,,4,3,,
Private Static Method,"com.beust.jcommander.DefaultUsageFormatter.newLineAndIndent",,,,,,,,3,1,,
Public Static Method,"com.beust.jcommander.DefaultUsageFormatter.s",,,,,,,,7,2,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.usage",,,,,,,,5,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.usage",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.usage",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.usage",,,,,,,,9,2,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.usage",,,,,,,,26,6,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.wrapDescription",,,,,,,,19,4,,
Public Method,"com.beust.jcommander.DefaultUsageFormatter.wrapDescription",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.DefaultUsageFormatterTest",1,33,0,18,0,19,19,306,,1,0
Private Enum Type,"com.beust.jcommander.DefaultUsageFormatterTest.TestEnum1",1,1,0,2,4,2,2,3,,1,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.TestEnum1.valueOf",,,,,,,,0,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.TestEnum1.values",,,,,,,,0,1,,
Private Enum Type,"com.beust.jcommander.DefaultUsageFormatterTest.TestEnum2",1,1,0,2,0,2,2,2,,1,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.TestEnum2.valueOf",,,,,,,,0,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.TestEnum2.values",,,,,,,,0,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.annotationsAndDynamicParameters",,,,,,,,12,1,,
Class,"com.beust.jcommander.DefaultUsageFormatterTest.annotationsAndDynamicParameters.DSimple",1,3,0,0,2,0,0,6,,1,0
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.doNotDisplayHelpDefaultValue",,,,,,,,13,1,,
Class,"com.beust.jcommander.DefaultUsageFormatterTest.doNotDisplayHelpDefaultValue.Arg",1,1,0,0,1,0,0,4,,1,0
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.dontShowOptionUsageIfThereAreNoOptions",,,,,,,,14,1,,
Class,"com.beust.jcommander.DefaultUsageFormatterTest.dontShowOptionUsageIfThereAreNoOptions.CommandTemplate",1,3,0,0,1,0,0,4,,1,0
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.emptyStringAsDefault",,,,,,,,13,1,,
Class,"com.beust.jcommander.DefaultUsageFormatterTest.emptyStringAsDefault.Arg",1,2,0,0,1,0,0,4,,1,0
Public Static Method,"com.beust.jcommander.DefaultUsageFormatterTest.getResourceBundle",,,,,,,,3,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.i18MissingKeyForCommand",,,,,,,,11,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.noParseConstructor",,,,,,,,7,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.nonexistentCommandShouldThrow",,,,,,,,6,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.oom",,,,,,,,6,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.programName",,,,,,,,9,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.testDescriptionWrappingLongWord",,,,,,,,10,2,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.testLongCommandDescription",,,,,,,,10,2,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.testLongMainParameterDescription",,,,,,,,10,2,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.testOutputFormat",,,,,,,,59,1,,
Class,"com.beust.jcommander.DefaultUsageFormatterTest.testOutputFormat.ArgsTemplate",1,3,0,0,10,0,0,22,,1,0
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.usageCommandsUnderUsage",,,,,,,,23,1,,
Class,"com.beust.jcommander.DefaultUsageFormatterTest.usageCommandsUnderUsage.Arg",1,0,0,0,0,0,0,2,,1,0
Class,"com.beust.jcommander.DefaultUsageFormatterTest.usageCommandsUnderUsage.ArgCommandA",1,2,0,0,1,0,0,4,,1,0
Class,"com.beust.jcommander.DefaultUsageFormatterTest.usageCommandsUnderUsage.ArgCommandB",1,2,0,0,1,0,0,4,,1,0
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.usageShouldNotChange",,,,,,,,11,1,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.usageWithEmptyLine",,,,,,,,23,1,,
Class,"com.beust.jcommander.DefaultUsageFormatterTest.usageWithEmptyLine.Arg",1,0,0,0,0,0,0,2,,1,0
Class,"com.beust.jcommander.DefaultUsageFormatterTest.usageWithEmptyLine.ArgCommandA",1,2,0,0,1,0,0,4,,1,0
Class,"com.beust.jcommander.DefaultUsageFormatterTest.usageWithEmptyLine.ArgCommandB",1,2,0,0,1,0,0,4,,1,0
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.usageWithRequiredArgsAndResourceBundle",,,,,,,,15,2,,
Public Method,"com.beust.jcommander.DefaultUsageFormatterTest.usageWithSubCommands",,,,,,,,26,1,,
Class,"com.beust.jcommander.DefaultUsageFormatterTest.usageWithSubCommands.Arg",1,0,0,0,0,0,0,2,,1,0
Class,"com.beust.jcommander.DefaultUsageFormatterTest.usageWithSubCommands.ArgCommandA",1,2,0,0,1,0,0,4,,1,0
Class,"com.beust.jcommander.DefaultUsageFormatterTest.usageWithSubCommands.ArgCommandB",1,2,0,0,1,0,0,4,,1,0
Public Class,"com.beust.jcommander.DefaultValueTest",1,12,0,5,0,7,7,71,,1,0
Public Static Class,"com.beust.jcommander.DefaultValueTest.MyOpts",1,3,2,0,2,0,0,6,,1,0
Public Static Class,"com.beust.jcommander.DefaultValueTest.MyOptsWithDefaultValues",1,1,0,1,0,1,1,6,,2,0
Public Constructor,"com.beust.jcommander.DefaultValueTest.MyOptsWithDefaultValues.MyOptsWithDefaultValues",,,,,,,,4,1,,
Public Static Class,"com.beust.jcommander.DefaultValueTest.MyOptsWithEmptyDefaults",1,2,0,1,0,1,1,6,,2,0
Public Constructor,"com.beust.jcommander.DefaultValueTest.MyOptsWithEmptyDefaults.MyOptsWithEmptyDefaults",,,,,,,,4,1,,
Public Method,"com.beust.jcommander.DefaultValueTest.anyNumberOfValuesCanBeSetToListParameters_ForEmptyDefaults",,,,,,,,4,1,,
Public Method,"com.beust.jcommander.DefaultValueTest.anyNumberOfValuesCanBeSetToListParameters_ForNonEmptyDefaults",,,,,,,,4,1,,
Public Method,"com.beust.jcommander.DefaultValueTest.defaultValueForListParametersGetsOverwrittenWithSpecifiedValueOrStaysAsDefaultOtherwise",,,,,,,,9,1,,
Public Method,"com.beust.jcommander.DefaultValueTest.emptyDefaultValueForListParameterStaysEmptyIfNotAssignedOrIsSetOtherwise",,,,,,,,8,1,,
Public Static Method,"com.beust.jcommander.DefaultValueTest.singletonList",,,,,,,,5,1,,
Public Static Method,"com.beust.jcommander.DefaultValueTest.singletonSet",,,,,,,,5,1,,
Private Method,"com.beust.jcommander.DefaultValueTest.testSettingMultipleValuesToListTypeParameters",,,,,,,,12,1,,
Public Annotation,"com.beust.jcommander.DynamicParameter",0,3,0,9,0,9,9,11,,0,0
Abstract Method,"com.beust.jcommander.DynamicParameter.assignment",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.DynamicParameter.description",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.DynamicParameter.descriptionKey",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.DynamicParameter.hidden",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.DynamicParameter.names",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.DynamicParameter.order",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.DynamicParameter.required",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.DynamicParameter.validateValueWith",,,,,,,,1,0,,
Abstract Method,"com.beust.jcommander.DynamicParameter.validateWith",,,,,,,,1,0,,
Public Class,"com.beust.jcommander.FinderTest",1,15,0,7,0,8,8,92,,1,0
Public Method,"com.beust.jcommander.FinderTest.abbreviatedOptions",,,,,,,,11,1,,
Class,"com.beust.jcommander.FinderTest.abbreviatedOptions.Arg",1,2,0,0,1,0,0,4,,1,0
Public Method,"com.beust.jcommander.FinderTest.abbreviatedOptionsCaseInsensitive",,,,,,,,12,1,,
Class,"com.beust.jcommander.FinderTest.abbreviatedOptionsCaseInsensitive.Arg",1,2,0,0,1,0,0,4,,1,0
Public Method,"com.beust.jcommander.FinderTest.ambiguousAbbreviatedOptions",,,,,,,,13,1,,
Class,"com.beust.jcommander.FinderTest.ambiguousAbbreviatedOptions.Arg",1,2,0,0,2,0,0,6,,1,0
Public Method,"com.beust.jcommander.FinderTest.ambiguousAbbreviatedOptionsCaseInsensitive",,,,,,,,14,1,,
Class,"com.beust.jcommander.FinderTest.ambiguousAbbreviatedOptionsCaseInsensitive.Arg",1,2,0,0,2,0,0,6,,1,0
Public Method,"com.beust.jcommander.FinderTest.caseInsensitiveArguments",,,,,,,,13,1,,
Class,"com.beust.jcommander.FinderTest.caseInsensitiveArguments.TestJobRunnerArgs",1,2,0,0,1,0,0,4,,1,0
Public Method,"com.beust.jcommander.FinderTest.caseInsensitiveCommand",,,,,,,,10,1,,
Public Method,"com.beust.jcommander.FinderTest.caseInsensitiveOption",,,,,,,,11,1,,
Class,"com.beust.jcommander.FinderTest.caseInsensitiveOption.Arg",1,2,0,0,1,0,0,4,,1,0
Public Static Method,"com.beust.jcommander.FinderTest.main",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.FuzzyMap",1,5,0,0,0,2,2,45,,1,0
Interface,"com.beust.jcommander.FuzzyMap.IKey",0,1,2,1,0,1,1,3,,0,0
Abstract Method,"com.beust.jcommander.FuzzyMap.IKey.getName",,,,,,,,1,0,,
Private Static Generic Method,"com.beust.jcommander.FuzzyMap.findAbbreviatedValue",,,,,,,,23,5,,
TypeVariable,"com.beust.jcommander.FuzzyMap.findAbbreviatedValue.V",1,0,0,0,0,0,0,0,,1,0
Public Static Generic Method,"com.beust.jcommander.FuzzyMap.findInMap",,,,,,,,17,5,,
TypeVariable,"com.beust.jcommander.FuzzyMap.findInMap.V",1,0,0,0,0,0,0,0,,1,0
Public Class,"com.beust.jcommander.HiddenConverter",2,2,0,2,0,2,2,8,,1,0
Private Constructor,"com.beust.jcommander.HiddenConverter.HiddenConverter",,,,,,,,2,1,,
Public Method,"com.beust.jcommander.HiddenConverter.convert",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.HiddenParameterSplitter",2,4,0,1,0,1,1,6,,1,0
Public Method,"com.beust.jcommander.HiddenParameterSplitter.split",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.HostPort",1,3,0,1,2,1,1,8,,1,0
Public Method,"com.beust.jcommander.HostPort.toString",,,,,,,,3,1,,
Public Class,"com.beust.jcommander.HostPortConverter",2,2,0,1,0,1,1,8,,1,0
Public Method,"com.beust.jcommander.HostPortConverter.convert",,,,,,,,7,1,,
Public Interface,"com.beust.jcommander.IDefaultProvider",0,1,4,1,0,1,1,3,,0,0
Abstract Method,"com.beust.jcommander.IDefaultProvider.getDefaultValueFor",,,,,,,,1,0,,
Public Interface,"com.beust.jcommander.IParameterValidator",0,2,7,1,0,1,1,3,,0,0
Abstract Method,"com.beust.jcommander.IParameterValidator.validate",,,,,,,,1,0,,
Public Interface,"com.beust.jcommander.IParameterValidator2",1,3,1,1,0,1,2,3,,1,0
Abstract Method,"com.beust.jcommander.IParameterValidator2.validate",,,,,,,,1,0,,
Public Interface,"com.beust.jcommander.IParameterizedParser",0,1,2,1,0,1,1,3,,0,0
